,0,1,2,3,4
0,0.8225922563116697,1.177468920421119,1.420040085445405,1.60543605894324,1.7548848038232379
1,1.3053911582786026,1.8266068043532118,2.1889186000376255,2.469821795207419,2.6992397627670472
2,1.952500635219329,2.705638368429259,3.2376651008834525,3.6558165165733576,4.001590050398976
3,2.7927056766162455,3.858991735115549,4.6239448447118345,5.233030607815378,5.742633245935199
4,3.8515126368323576,5.32795100780117,6.402952915067571,7.269581856823216,8.002758876740879
5,5.148922037782718,7.147370944852302,8.623330623112368,9.827366147987513,10.856783429059428
6,6.6977001285351605,9.342919899259254,11.323572712122203,12.957747451516758,14.369012399970917
7,8.50245358469113,11.929328502070756,14.52953959158129,16.698397431027182,18.589460899416572
8,10.5596682904513,14.909948005751025,18.253505576651712,21.071832356626906,23.551889037399093
9,12.858689277601231,18.277672373171114,22.494883409725997,26.08587661401135,29.273971259640188
10,15.383442429086642,22.017017804576568,27.242442979556312,31.735910165022496,35.75950607842254
